TicketID,CustomerID,ProductID,Category,Severity,Channel,State,CreatedAt,ResolvedAt,SLAMet,ShortDescription,ResolutionNote
TIC00160,CUST0102,C350,Setup,Low,Email,Resolved,2025-08-05T06:29:47,2025-08-07T12:29:47,True,Initial pairing fails during onboarding.,Firmware updated; stability improved.
TIC00161,CUST0059,C415,Setup,Low,Web,Closed,2023-05-16T10:58:43,2023-05-17T02:58:43,True,Initial pairing fails during onboarding.,Provided billing credit and closed ticket.
TIC00162,CUST0167,C348,Warranty,Low,Web,Closed,2024-12-20T19:59:15,2024-12-29T20:59:15,False,Customer requests warranty verification for repair.,Guided customer to change router settings (WPA2).
TIC00163,CUST0190,C377,Power,Medium,Phone,Resolved,2023-03-29T00:29:08,2023-03-30T13:29:08,True,Unit shuts down unexpectedly after 10 minutes.,Firmware updated; stability improved.
TIC00164,CUST0102,C394,Performance,Medium,Phone,Resolved,2023-08-31T15:14:28,2023-09-01T23:14:28,True,UI lag observed while switching modes.,Guided customer to change router settings (WPA2).
TIC00165,CUST0136,C390,Power,Medium,Phone,Resolved,2024-10-19T11:12:44,2024-10-20T08:12:44,True,Unit shuts down unexpectedly after 10 minutes.,Guided customer to change router settings (WPA2).
TIC00166,CUST0146,C361,Setup,Low,Chat,Open,2023-12-24T07:08:12,,False,Initial pairing fails during onboarding.,
TIC00167,CUST0189,C372,App Integration,Critical,Web,Resolved,2025-10-09T06:55:44,2025-10-09T16:55:44,False,Mobile app cannot discover the device.,Provided billing credit and closed ticket.
TIC00168,CUST0078,C304,Performance,Medium,Email,Open,2023-07-24T20:16:11,,False,UI lag observed while switching modes.,
TIC00169,CUST0069,C373,Billing,Low,Chat,Resolved,2023-08-22T22:31:08,2023-08-24T17:31:08,True,Discrepancy in invoice total for accessory bundle.,Firmware updated; stability improved.
TIC00170,CUST0029,C307,Connectivity,Low,Chat,Closed,2025-08-28T07:53:24,2025-08-30T12:53:24,True,Device fails to connect to Wi‑Fi network intermittently.,Provided step‑by‑step setup and reset instructions.
TIC00171,CUST0135,C354,Warranty,Low,Email,Resolved,2024-02-07T12:26:08,2024-02-09T07:26:08,True,Customer requests warranty verification for repair.,Provided step‑by‑step setup and reset instructions.
TIC00172,CUST0112,C410,Connectivity,High,Email,Escalated,2025-03-31T23:50:02,,False,Device fails to connect to Wi‑Fi network intermittently.,
TIC00173,CUST0141,C317,Performance,High,Phone,Resolved,2025-02-14T01:44:05,2025-02-14T09:44:05,True,UI lag observed while switching modes.,Escalated to engineering; patch shipped in v1.0.4.
TIC00174,CUST0098,C391,App Integration,Low,Chat,Resolved,2024-05-18T01:19:22,2024-05-20T09:19:22,True,Mobile app cannot discover the device.,Replaced unit; RMA processed.
TIC00175,CUST0015,C314,Connectivity,Medium,Web,Open,2024-06-28T18:27:22,,True,Device fails to connect to Wi‑Fi network intermittently.,
TIC00176,CUST0144,C308,Performance,Low,Web,Resolved,2023-02-17T16:49:34,2023-02-20T08:49:34,True,UI lag observed while switching modes.,Escalated to engineering; patch shipped in v1.0.4.
TIC00177,CUST0009,C319,Setup,Medium,Web,Escalated,2024-05-21T11:51:15,,True,Initial pairing fails during onboarding.,
TIC00178,CUST0080,C404,App Integration,Medium,Phone,Open,2025-06-03T17:21:58,,True,Mobile app cannot discover the device.,
TIC00179,CUST0126,C306,Performance,Low,Web,Open,2024-04-11T03:58:02,,True,UI lag observed while switching modes.,
TIC00180,CUST0043,C328,Setup,Medium,Web,Closed,2024-05-11T17:49:20,2024-05-12T19:49:20,True,Initial pairing fails during onboarding.,Escalated to engineering; patch shipped in v1.0.4.
TIC00181,CUST0088,C303,Connectivity,High,Web,Resolved,2024-07-13T19:21:26,2024-07-14T03:21:26,True,Device fails to connect to Wi‑Fi network intermittently.,Provided step‑by‑step setup and reset instructions.
TIC00182,CUST0092,C386,Setup,High,Email,Open,2024-04-07T07:26:01,,False,Initial pairing fails during onboarding.,
TIC00183,CUST0125,C314,Warranty,Low,Chat,Resolved,2023-07-27T04:55:35,2023-07-28T16:55:35,True,Customer requests warranty verification for repair.,Provided step‑by‑step setup and reset instructions.
TIC00184,CUST0072,C350,Setup,Low,Web,Open,2024-12-22T13:02:13,,False,Initial pairing fails during onboarding.,
TIC00185,CUST0165,C318,Billing,Low,Email,Open,2024-06-05T10:34:18,,True,Discrepancy in invoice total for accessory bundle.,
TIC00186,CUST0114,C382,Connectivity,Medium,Chat,Closed,2023-02-28T20:02:43,2023-03-03T02:02:43,False,Device fails to connect to Wi‑Fi network intermittently.,Firmware updated; stability improved.
TIC00187,CUST0035,C367,Billing,Low,Phone,Resolved,2023-03-17T01:26:59,2023-03-18T22:26:59,True,Discrepancy in invoice total for accessory bundle.,Issue not reproducible; monitored for 7 days.
TIC00188,CUST0219,C362,Audio/Video,Low,Email,Resolved,2023-07-30T23:22:30,2023-08-01T08:22:30,True,Audio distortion at higher volume levels.,Replaced defective adapter under warranty.
TIC00189,CUST0077,C320,Power,Medium,Phone,Resolved,2025-04-03T05:17:17,2025-04-05T16:17:17,False,Unit shuts down unexpectedly after 10 minutes.,Escalated to engineering; patch shipped in v1.0.4.
TIC00190,CUST0216,C379,Setup,Low,Email,Resolved,2023-12-14T21:50:09,2023-12-18T14:50:09,False,Initial pairing fails during onboarding.,Replaced defective adapter under warranty.
TIC00191,CUST0002,C358,Performance,Low,Chat,Escalated,2023-03-09T02:20:24,,False,UI lag observed while switching modes.,
TIC00192,CUST0089,C352,Performance,Low,Web,Resolved,2023-01-17T10:49:43,2023-01-19T18:49:43,True,UI lag observed while switching modes.,Guided customer to change router settings (WPA2).
TIC00193,CUST0079,C343,Billing,High,Chat,Resolved,2024-09-29T11:49:07,2024-09-29T18:49:07,True,Discrepancy in invoice total for accessory bundle.,Guided customer to change router settings (WPA2).
TIC00194,CUST0004,C330,Power,Critical,Web,Resolved,2025-04-18T20:32:20,2025-04-19T00:32:20,True,Unit shuts down unexpectedly after 10 minutes.,Replaced unit; RMA processed.
TIC00195,CUST0194,C318,Warranty,Medium,Email,Resolved,2023-08-11T05:21:00,2023-08-11T11:21:00,True,Customer requests warranty verification for repair.,Provided billing credit and closed ticket.
TIC00196,CUST0126,C372,Setup,Critical,Phone,Closed,2025-08-07T00:17:26,2025-08-07T08:17:26,True,Initial pairing fails during onboarding.,Replaced defective adapter under warranty.
TIC00197,CUST0124,C351,App Integration,High,Email,Closed,2025-08-22T10:19:03,2025-08-24T01:19:03,False,Mobile app cannot discover the device.,Guided customer to change router settings (WPA2).
TIC00198,CUST0039,C388,Power,Medium,Web,Closed,2025-09-30T20:57:33,2025-10-01T10:57:33,True,Unit shuts down unexpectedly after 10 minutes.,Issue not reproducible; monitored for 7 days.
TIC00199,CUST0051,C352,Warranty,Medium,Chat,Escalated,2025-10-02T14:08:27,,True,Customer requests warranty verification for repair.,
TIC00200,CUST0063,C308,App Integration,High,Web,Resolved,2025-09-04T21:57:57,2025-09-05T07:57:57,True,Mobile app cannot discover the device.,Provided billing credit and closed ticket.
TIC00201,CUST0029,C366,Setup,High,Email,Open,2025-08-09T23:21:11,,False,Initial pairing fails during onboarding.,
TIC00202,CUST0179,C413,Warranty,High,Web,Open,2023-12-13T19:52:54,,False,Customer requests warranty verification for repair.,
TIC00203,CUST0184,C414,Audio/Video,Medium,Email,Resolved,2024-06-24T06:05:24,2024-06-26T00:05:24,True,Audio distortion at higher volume levels.,Guided customer to change router settings (WPA2).
TIC00204,CUST0114,C302,Performance,Low,Web,Closed,2025-03-24T21:35:23,2025-03-27T13:35:23,True,UI lag observed while switching modes.,Provided step‑by‑step setup and reset instructions.
TIC00205,CUST0078,C396,Connectivity,High,Phone,Closed,2024-12-16T01:10:55,2024-12-16T18:10:55,True,Device fails to connect to Wi‑Fi network intermittently.,Firmware updated; stability improved.
TIC00206,CUST0036,C371,Power,High,Phone,Resolved,2024-05-15T03:39:06,2024-05-15T13:39:06,True,Unit shuts down unexpectedly after 10 minutes.,Provided step‑by‑step setup and reset instructions.
TIC00207,CUST0031,C399,Power,Low,Chat,Resolved,2024-01-26T15:55:16,2024-01-29T01:55:16,True,Unit shuts down unexpectedly after 10 minutes.,Provided billing credit and closed ticket.
TIC00208,CUST0200,C376,Setup,Low,Web,Resolved,2024-12-04T09:47:46,2024-12-04T23:47:46,True,Initial pairing fails during onboarding.,Replaced defective adapter under warranty.
TIC00209,CUST0006,C341,Setup,Medium,Email,Resolved,2024-11-28T23:39:42,2024-11-29T13:39:42,True,Initial pairing fails during onboarding.,Firmware updated; stability improved.
TIC00210,CUST0115,C318,Power,Medium,Email,Resolved,2023-07-22T18:13:47,2023-07-24T00:13:47,True,Unit shuts down unexpectedly after 10 minutes.,Guided customer to change router settings (WPA2).
TIC00211,CUST0165,C340,Performance,Medium,Email,Resolved,2024-08-15T01:40:32,2024-08-15T22:40:32,True,UI lag observed while switching modes.,Provided step‑by‑step setup and reset instructions.
TIC00212,CUST0011,C404,Setup,Low,Web,Resolved,2024-04-21T04:37:56,2024-04-22T08:37:56,True,Initial pairing fails during onboarding.,Issue not reproducible; monitored for 7 days.
TIC00213,CUST0003,C406,Audio/Video,Medium,Email,Resolved,2023-05-22T20:58:51,2023-05-23T11:58:51,True,Audio distortion at higher volume levels.,Provided billing credit and closed ticket.
TIC00214,CUST0020,C314,App Integration,High,Chat,Resolved,2025-08-17T19:32:42,2025-08-18T11:32:42,True,Mobile app cannot discover the device.,Firmware updated; stability improved.
TIC00215,CUST0049,C379,Billing,Medium,Chat,Resolved,2024-04-03T15:35:32,2024-04-04T09:35:32,True,Discrepancy in invoice total for accessory bundle.,Escalated to engineering; patch shipped in v1.0.4.
TIC00216,CUST0111,C346,Warranty,Low,Chat,Escalated,2024-08-21T15:09:32,,False,Customer requests warranty verification for repair.,
TIC00217,CUST0168,C384,Setup,Low,Email,Open,2023-04-09T10:05:28,,False,Initial pairing fails during onboarding.,
TIC00218,CUST0001,C321,Audio/Video,Medium,Phone,Open,2024-09-02T21:47:07,,True,Audio distortion at higher volume levels.,
TIC00219,CUST0032,C373,Audio/Video,Medium,Web,Open,2023-06-17T11:23:49,,False,Audio distortion at higher volume levels.,
TIC00220,CUST0031,C301,Connectivity,Low,Web,Resolved,2025-01-05T17:10:40,2025-01-06T20:10:40,True,Device fails to connect to Wi‑Fi network intermittently.,Firmware updated; stability improved.
TIC00221,CUST0118,C361,Setup,Medium,Email,Closed,2023-12-28T01:05:00,2023-12-28T22:05:00,True,Initial pairing fails during onboarding.,Guided customer to change router settings (WPA2).
TIC00222,CUST0158,C319,App Integration,Low,Email,Resolved,2024-08-24T22:40:13,2024-08-26T06:40:13,True,Mobile app cannot discover the device.,Firmware updated; stability improved.
TIC00223,CUST0206,C351,Audio/Video,High,Email,Resolved,2023-06-07T23:53:29,2023-06-08T12:53:29,True,Audio distortion at higher volume levels.,Escalated to engineering; patch shipped in v1.0.4.
TIC00224,CUST0050,C378,Audio/Video,Low,Chat,Resolved,2024-06-05T07:39:29,2024-06-05T21:39:29,True,Audio distortion at higher volume levels.,Provided step‑by‑step setup and reset instructions.
TIC00225,CUST0168,C316,App Integration,High,Email,Resolved,2024-09-24T04:11:02,2024-09-24T14:11:02,True,Mobile app cannot discover the device.,Firmware updated; stability improved.
TIC00226,CUST0124,C414,Billing,Low,Web,Resolved,2023-10-17T04:01:40,2023-10-18T14:01:40,True,Discrepancy in invoice total for accessory bundle.,Provided billing credit and closed ticket.
TIC00227,CUST0141,C415,Audio/Video,Medium,Web,Resolved,2024-04-09T03:11:15,2024-04-09T17:11:15,True,Audio distortion at higher volume levels.,Provided billing credit and closed ticket.
TIC00228,CUST0125,C309,Warranty,High,Phone,Resolved,2024-01-22T01:35:21,2024-01-23T02:35:21,False,Customer requests warranty verification for repair.,Escalated to engineering; patch shipped in v1.0.4.
TIC00229,CUST0046,C404,Connectivity,Medium,Web,Resolved,2023-07-24T16:00:11,2023-07-25T10:00:11,True,Device fails to connect to Wi‑Fi network intermittently.,Issue not reproducible; monitored for 7 days.
TIC00230,CUST0031,C387,Connectivity,High,Web,Resolved,2025-06-25T20:44:28,2025-06-26T10:44:28,True,Device fails to connect to Wi‑Fi network intermittently.,Firmware updated; stability improved.
TIC00231,CUST0053,C388,Connectivity,Low,Retail Kiosk,Open,2024-05-03T04:42:29,,True,Device fails to connect to Wi‑Fi network intermittently.,
TIC00232,CUST0051,C345,Performance,Medium,Email,Resolved,2024-02-29T22:56:49,2024-03-01T21:56:49,True,UI lag observed while switching modes.,Issue not reproducible; monitored for 7 days.
TIC00233,CUST0080,C386,Warranty,Medium,Phone,Resolved,2024-09-22T16:57:05,2024-09-24T16:57:05,True,Customer requests warranty verification for repair.,Replaced unit; RMA processed.
TIC00234,CUST0155,C398,Connectivity,Low,Phone,Open,2025-09-20T01:50:42,,False,Device fails to connect to Wi‑Fi network intermittently.,
TIC00235,CUST0071,C359,Connectivity,Medium,Chat,Resolved,2023-10-07T21:03:40,2023-10-09T23:03:40,False,Device fails to connect to Wi‑Fi network intermittently.,Escalated to engineering; patch shipped in v1.0.4.
TIC00236,CUST0013,C335,App Integration,Medium,Email,Open,2024-04-03T02:23:36,,True,Mobile app cannot discover the device.,
TIC00237,CUST0167,C407,Connectivity,Low,Chat,Escalated,2025-03-12T22:31:19,,False,Device fails to connect to Wi‑Fi network intermittently.,
TIC00238,CUST0078,C388,Setup,Low,Phone,Closed,2023-12-14T14:43:30,2023-12-16T17:43:30,True,Initial pairing fails during onboarding.,Provided step‑by‑step setup and reset instructions.
TIC00239,CUST0206,C364,Warranty,Low,Email,Resolved,2023-03-30T00:36:47,2023-03-31T19:36:47,True,Customer requests warranty verification for repair.,Escalated to engineering; patch shipped in v1.0.4.
TIC00240,CUST0057,C311,App Integration,Medium,Chat,Resolved,2025-06-23T04:37:28,2025-06-24T01:37:28,True,Mobile app cannot discover the device.,Provided billing credit and closed ticket.
TIC00241,CUST0086,C388,Audio/Video,Low,Phone,Closed,2024-05-18T22:13:25,2024-05-22T00:13:25,False,Audio distortion at higher volume levels.,Escalated to engineering; patch shipped in v1.0.4.
TIC00242,CUST0147,C369,Billing,Low,Email,Resolved,2024-08-31T04:13:18,2024-08-31T22:13:18,True,Discrepancy in invoice total for accessory bundle.,Replaced defective adapter under warranty.
TIC00243,CUST0128,C301,Audio/Video,Medium,Web,Closed,2023-11-04T19:47:36,2023-11-05T11:47:36,True,Audio distortion at higher volume levels.,Replaced defective adapter under warranty.
TIC00244,CUST0131,C415,App Integration,Low,Phone,Escalated,2023-03-02T07:01:55,,True,Mobile app cannot discover the device.,
TIC00245,CUST0113,C306,Audio/Video,Low,Chat,Open,2024-03-27T16:16:06,,True,Audio distortion at higher volume levels.,
TIC00246,CUST0106,C412,Audio/Video,High,Chat,Resolved,2023-11-08T11:32:43,2023-11-09T20:32:43,False,Audio distortion at higher volume levels.,Replaced defective adapter under warranty.
TIC00247,CUST0198,C386,Connectivity,Low,Phone,Open,2023-11-09T17:56:15,,True,Device fails to connect to Wi‑Fi network intermittently.,
TIC00248,CUST0101,C371,Warranty,Low,Chat,Escalated,2025-06-18T02:46:13,,False,Customer requests warranty verification for repair.,
TIC00249,CUST0150,C335,Billing,Medium,Email,Resolved,2023-10-29T22:49:05,2023-10-31T01:49:05,True,Discrepancy in invoice total for accessory bundle.,Issue not reproducible; monitored for 7 days.
TIC00250,CUST0062,C399,Performance,Medium,Email,Open,2025-01-17T06:30:17,,False,UI lag observed while switching modes.,
TIC00251,CUST0209,C341,Setup,Medium,Chat,Resolved,2023-04-18T20:19:55,2023-04-19T17:19:55,True,Initial pairing fails during onboarding.,Provided step‑by‑step setup and reset instructions.
TIC00252,CUST0036,C341,Power,Low,Email,Closed,2025-07-14T05:25:07,2025-07-19T20:25:07,False,Unit shuts down unexpectedly after 10 minutes.,Replaced unit; RMA processed.
TIC00253,CUST0111,C400,Setup,Medium,Phone,Resolved,2025-10-01T18:51:39,2025-10-02T02:51:39,True,Initial pairing fails during onboarding.,Provided step‑by‑step setup and reset instructions.
TIC00254,CUST0144,C348,Connectivity,High,Web,Open,2024-07-12T08:47:18,,False,Device fails to connect to Wi‑Fi network intermittently.,
TIC00255,CUST0095,C375,Performance,Low,Email,Resolved,2025-01-16T00:54:36,2025-01-18T04:54:36,True,UI lag observed while switching modes.,Provided step‑by‑step setup and reset instructions.
TIC00256,CUST0211,C395,Performance,Medium,Web,Resolved,2025-02-09T17:01:25,2025-02-10T17:01:25,True,UI lag observed while switching modes.,Firmware updated; stability improved.
TIC00257,CUST0060,C301,Performance,High,Web,Closed,2025-02-26T06:14:35,2025-02-26T16:14:35,True,UI lag observed while switching modes.,Provided step‑by‑step setup and reset instructions.
TIC00258,CUST0182,C370,Setup,Medium,Email,Resolved,2024-01-08T15:32:17,2024-01-10T05:32:17,True,Initial pairing fails during onboarding.,Replaced defective adapter under warranty.
TIC00259,CUST0090,C326,Audio/Video,High,Chat,Closed,2023-03-25T08:45:00,2023-03-25T23:45:00,True,Audio distortion at higher volume levels.,Escalated to engineering; patch shipped in v1.0.4.
TIC00260,CUST0058,C304,Setup,Low,Web,Resolved,2023-05-16T05:06:06,2023-05-17T20:06:06,True,Initial pairing fails during onboarding.,Replaced unit; RMA processed.
